date;euro;gas;gold;rosneft;sber;usd;benz;pshen;aeroflot
02.01.2015;68.3681;2.958;1189.8;196.75;56.37;56.2376;1.443;581.2;33.21
03.01.2015;68.3681;2.958;1189.8;196.75;56.37;56.2376;1.443;581.2;33.21
04.01.2015;68.3681;3.122;1196.4;196.75;56.37;56.2376;1.42;587.4;33.21
05.01.2015;68.3681;2.934;1206;196.75;56.37;56.2376;1.3838;590.4;33.21
06.01.2015;68.3681;2.917;1213.7;200.3;58.28;56.2376;1.3365;590;33.07
07.01.2015;68.3681;2.837;1209.9;200.3;58.28;56.2376;1.3405;578;33.07
08.01.2015;68.3681;2.989;1212.2;214.95;65.7;56.2376;1.3495;563;35.17
09.01.2015;68.3681;2.963;1223.4;206.6;63.1;56.2376;1.326;563.6;34
10.01.2015;68.3681;2.963;1223.4;206.6;63.1;56.2376;1.326;563.6;34
11.01.2015;68.3681;2.918;1229.2;206.6;63.1;56.2376;1.3146;564.2;34
12.01.2015;68.3681;2.819;1235.9;204;62.9;56.2376;1.2695;558.6;34.45
13.01.2015;74.3551;2.964;1227.8;204.9;60.31;62.7363;1.2558;547;35
14.01.2015;76.7735;3.277;1229.5;209.5;60.05;64.8425;1.3505;544;36.55
15.01.2015;77.9629;3.129;1257.6;219.9;61.8;66.0983;1.3044;535.6;36.65
16.01.2015;76.3352;3.085;1280.3;226;61.99;64.8337;1.358;532.6;36.05
17.01.2015;75.8623;3.085;1280.3;226;61.99;65.1738;1.358;532.6;36.05
18.01.2015;75.8623;3.03;1277.4;226;61.99;65.1738;1.358;532.6;36.05
19.01.2015;75.8623;2.984;1277.1;225.3;61.8;65.1738;1.3454;532.4;36.34
20.01.2015;75.174;2.949;1300.5;227;60.8;64.9732;1.3255;542.6;37.2
21.01.2015;75.2735;3.03;1291.8;234.6;62.8;64.9862;1.3244;539.2;38.1
22.01.2015;75.8218;2.904;1295.1;241.8;64.35;65.5558;1.3545;532.2;39.55
23.01.2015;75.7724;2.967;1294.1;243.9;64.45;65.4;1.346;530;40.15
24.01.2015;71.9067;2.967;1294.1;243.9;64.45;63.393;1.346;530;40.15
25.01.2015;71.9067;2.932;1292.3;243.9;64.45;63.393;1.3333;532.4;40.15
26.01.2015;71.9067;2.939;1278.5;237.25;60.49;63.393;1.3149;518.4;38.26
27.01.2015;73.5633;2.907;1291.2;239;61.2;65.5937;1.3587;518.4;38
28.01.2015;76.2922;2.852;1282.5;231.5;60.63;67.8153;1.3519;504.2;38.11
29.01.2015;76.2629;2.71;1261.3;226.55;60.5;67.1506;1.3618;508;37.3
30.01.2015;77.569;2.675;1283.7;229.35;61.5;68.7303;1.4152;502.6;38.25
31.01.2015;78.1105;2.675;1283.7;229.35;61.5;68.9291;1.4152;502.6;38.25
01.02.2015;78.1105;2.664;1280.6;229.35;61.5;68.9291;1.455;501.4;38.25
02.02.2015;78.1105;2.697;1276.2;230.55;61.4;68.9291;1.56;496;37.34
03.02.2015;78.79;2.75;1263.1;238.35;62;69.664;1.5876;517.4;37.55
04.02.2015;76.8271;2.669;1272.4;239;61.04;67.7727;1.4809;511;37.09
05.02.2015;75.0415;2.62;1268.8;251;62.41;65.447;1.5509;527.2;37.75
06.02.2015;77.9356;2.571;1233.3;261;64.31;68.6113;1.565;527;38
07.02.2015;75.6591;2.571;1233.3;261;64.31;66.0432;1.565;527;38
08.02.2015;75.6591;2.675;1238.3;261;64.31;66.0432;1.5697;530.6;38
09.02.2015;75.6591;2.634;1244.7;257;65.57;66.0432;1.5619;527.2;37.6
10.02.2015;74.5833;2.712;1238.5;257.05;65;65.7817;1.5604;518.6;37.83
11.02.2015;74.1382;2.821;1222.1;265.35;65.12;65.4469;1.5457;522.6;38
12.02.2015;74.7386;2.745;1229.5;274.05;67.21;66.0585;1.6099;522.2;39.39
13.02.2015;74.8311;2.796;1227.9;290.2;70.6;66.0994;1.6215;533;40.4
14.02.2015;74.3675;2.796;1227.9;290.2;70.6;65.0862;1.6215;533;40.4
15.02.2015;74.3675;2.851;1231.8;290.2;70.6;65.0862;1.6322;533;40.4
