date;euro;gas;gold;rosneft;sber;usd;benz;pshen;aeroflot
17.01.2008;-0.001340238;-0.007990166;-0.001821701;-0.01755951;-0.007858546;0.002095875;-0.005706009;0.015110631;-0.016053858
18.01.2008;-0.005617697;-0.018835192;0.010037641;-0.014575866;-0.021782178;0.006886718;0.016642387;0.023391813;-0.011894737
19.01.2008;0.000136635;0.008840616;-0.001919819;0;0;0.00013467;0.001519757;0;0
20.01.2008;0;0;0;0;0;0;0;0;0
21.01.2008;0;-0.020405608;-0.021271781;-0.055771096;-0.076417004;0;-0.019033167;0;-0.043890487
22.01.2008;-0.00103438;-0.024408946;0.032601156;-0.034360555;0.019178082;0.005630906;0.006010784;-0.02961039;-0.014038997
23.01.2008;0.000535867;0.003929788;-0.003806538;-0.065581618;-0.02688172;0.009985555;-0.004041824;-0.031049251;-0.028138773
24.01.2008;0.00374348;0.021398747;0.025286581;0.061589253;0.066298343;-0.01041311;0.007057786;0.00441989;0.055697674
25.01.2008;0.000163965;0.019034236;0.001863422;0.014423592;-0.022797927;9.74323E-05;0.015418309;0.02640264;0.021037559
26.01.2008;0.002286804;0.001378965;0.000109409;0;0;-0.00796837;0.001423518;0;0
27.01.2008;0;0;0;0;0;0;0;0;0
28.01.2008;0;0.013645468;0.01651898;-0.050425498;-0.050583245;0;0.003661426;0.032154341;-0.029126214
29.01.2008;0.000884357;-0.013214771;-0.007640981;0.035513498;0.052272981;0.006407896;0.001502146;-0.01973001;0.004444444
30.01.2008;0.001010988;0.007884856;0.00976033;-0.028113745;-0.023564377;-0.004887132;-0.000857082;-0.022775424;0.005199115
31.01.2008;0.000802439;0.000745064;-0.005477392;-0.048672566;-0.044570062;5.72012E-05;-0.015655158;0.007588076;-0.009574117
01.02.2008;0.003350954;-0.041072093;-0.018358531;0.043604651;0.026282854;-0.002050955;-0.005228758;0.014523938;0.038555556
02.02.2008;0.000895564;-0.001164596;0.001650165;0;0;-0.000249732;0.000175208;0;0
03.02.2008;0;0;0;0;0;0;0;0;0
04.02.2008;0;0.017359762;-0.003844042;0.022339833;0.006651885;0;0.012174827;0.031813362;0.085802931
05.02.2008;-0.001360039;0.014134726;-0.016427784;-0.019127023;-0.039647577;0.001400486;-0.023148148;-0.896916752;-0.034387624
06.02.2008;0.000904251;0.002134606;0.013563502;-0.017777778;0.01146789;0.002731626;-0.009611552;9.299102692;0.014285714
07.02.2008;-0.005726342;0.022428267;0.010285335;-0.043042986;-0.037528345;0.00609679;0.01431127;0.029041626;-0.005432596
08.02.2008;-0.001997341;0.012377451;0.012151067;-0.017081388;-0.011779951;-0.000972818;0.039197531;0.028222013;-0.002832288
09.02.2008;-0.004646657;-0.001331558;0.002703872;0;0;0.005465257;-0.00123043;0;0
10.02.2008;0;0;0;0;0;0;0;0;0
11.02.2008;0;0.033454545;0.001294359;0.042693927;-0.008225057;0;0.018054376;-0.041171089;0.011462771
12.02.2008;0.002038568;-0.016772226;-0.021652483;0.04088812;0.026322115;-0.00443076;-0.015355727;-0.903912214;0.03801023
13.02.2008;-0.002780283;0.000238578;0.00055054;0.032190149;0.000702658;-0.00072148;0.013052507;8.846077458;0.026086957
