<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>
EURCB;D;16.01.2008;0;36.113
EURCB;D;17.01.2008;0;36.0646
EURCB;D;18.01.2008;0;35.862
EURCB;D;19.01.2008;0;35.8669
EURCB;D;22.01.2008;0;35.8298
EURCB;D;23.01.2008;0;35.849
EURCB;D;24.01.2008;0;35.9832
EURCB;D;25.01.2008;0;35.9891
EURCB;D;26.01.2008;0;36.0714
EURCB;D;29.01.2008;0;36.1033
EURCB;D;30.01.2008;0;36.1398
EURCB;D;31.01.2008;0;36.1688
EURCB;D;01.02.2008;0;36.29
EURCB;D;02.02.2008;0;36.3225
EURCB;D;05.02.2008;0;36.2731
EURCB;D;06.02.2008;0;36.3059
EURCB;D;07.02.2008;0;36.098
EURCB;D;08.02.2008;0;36.0259
EURCB;D;09.02.2008;0;35.8585
EURCB;D;12.02.2008;0;35.9316
EURCB;D;13.02.2008;0;35.8317
EURCB;D;14.02.2008;0;35.9006
EURCB;D;15.02.2008;0;35.9732
EURCB;D;16.02.2008;0;36.0309
EURCB;D;19.02.2008;0;36.0663
EURCB;D;20.02.2008;0;36.0992
EURCB;D;21.02.2008;0;36.1036
EURCB;D;22.02.2008;0;36.1399
EURCB;D;23.02.2008;0;36.2248
EURCB;D;27.02.2008;0;36.1921
EURCB;D;28.02.2008;0;36.3893
EURCB;D;29.02.2008;0;36.4054
EURCB;D;01.03.2008;0;36.5099
EURCB;D;04.03.2008;0;36.5125
EURCB;D;05.03.2008;0;36.5169
EURCB;D;06.03.2008;0;36.4918
EURCB;D;07.03.2008;0;36.6204
EURCB;D;08.03.2008;0;36.6921
EURCB;D;12.03.2008;0;36.6446
EURCB;D;13.03.2008;0;36.6538
EURCB;D;14.03.2008;0;36.8701
EURCB;D;15.03.2008;0;36.8995
EURCB;D;18.03.2008;0;37.1123
EURCB;D;19.03.2008;0;37.0825
EURCB;D;20.03.2008;0;37.0216
EURCB;D;21.03.2008;0;36.8739
EURCB;D;22.03.2008;0;36.7526
EURCB;D;25.03.2008;0;36.6632
EURCB;D;26.03.2008;0;36.8527
EURCB;D;27.03.2008;0;36.9103
EURCB;D;28.03.2008;0;37.0794
EURCB;D;29.03.2008;0;37.0676
EURCB;D;01.04.2008;0;37.0873
EURCB;D;02.04.2008;0;36.9851
EURCB;D;03.04.2008;0;36.8693
EURCB;D;04.04.2008;0;36.9414
EURCB;D;05.04.2008;0;36.976
EURCB;D;08.04.2008;0;36.9714
EURCB;D;09.04.2008;0;37.0433
EURCB;D;10.04.2008;0;37.0295
EURCB;D;11.04.2008;0;37.1299
EURCB;D;12.04.2008;0;37.107
EURCB;D;15.04.2008;0;37.0603
EURCB;D;16.04.2008;0;37.1291
EURCB;D;17.04.2008;0;37.1396
EURCB;D;18.04.2008;0;37.2336
EURCB;D;19.04.2008;0;37.2348
EURCB;D;22.04.2008;0;37.1137
EURCB;D;23.04.2008;0;37.1598
EURCB;D;24.04.2008;0;37.2606
EURCB;D;25.04.2008;0;37.1463
EURCB;D;26.04.2008;0;36.9422
EURCB;D;29.04.2008;0;36.9469
EURCB;D;30.04.2008;0;36.8895
EURCB;D;01.05.2008;0;36.8959
EURCB;D;05.05.2008;0;36.6997
EURCB;D;06.05.2008;0;36.7666
EURCB;D;07.05.2008;0;36.7701
EURCB;D;08.05.2008;0;36.7757
EURCB;D;09.05.2008;0;36.6035
EURCB;D;13.05.2008;0;36.6715
EURCB;D;14.05.2008;0;36.8346
EURCB;D;15.05.2008;0;36.873
EURCB;D;16.05.2008;0;37.0339
EURCB;D;17.05.2008;0;36.9053
EURCB;D;20.05.2008;0;36.9474
EURCB;D;21.05.2008;0;36.9705
EURCB;D;22.05.2008;0;37.0731
EURCB;D;23.05.2008;0;37.2238
EURCB;D;24.05.2008;0;37.0932
EURCB;D;27.05.2008;0;37.1357
EURCB;D;28.05.2008;0;37.1239
EURCB;D;29.05.2008;0;37.0987
EURCB;D;30.05.2008;0;36.8904
EURCB;D;31.05.2008;0;36.7827
EURCB;D;03.06.2008;0;36.8701
EURCB;D;04.06.2008;0;36.8699
EURCB;D;05.06.2008;0;36.7382
EURCB;D;06.06.2008;0;36.7699
EURCB;D;07.06.2008;0;36.9233
EURCB;D;08.06.2008;0;37.181
EURCB;D;10.06.2008;0;37.142
EURCB;D;11.06.2008;0;36.807
EURCB;D;12.06.2008;0;36.6841
EURCB;D;17.06.2008;0;36.5681
EURCB;D;18.06.2008;0;36.6943
EURCB;D;19.06.2008;0;36.6827
EURCB;D;20.06.2008;0;36.7325
EURCB;D;21.06.2008;0;36.7003
EURCB;D;24.06.2008;0;36.7427
EURCB;D;25.06.2008;0;36.7138
EURCB;D;26.06.2008;0;36.7203
EURCB;D;27.06.2008;0;36.8276
EURCB;D;28.06.2008;0;36.9077
EURCB;D;01.07.2008;0;36.971
EURCB;D;02.07.2008;0;36.9823
EURCB;D;03.07.2008;0;37.0561
EURCB;D;04.07.2008;0;37.1069
EURCB;D;05.07.2008;0;36.9381
EURCB;D;08.07.2008;0;36.8131
EURCB;D;09.07.2008;0;36.8823
EURCB;D;10.07.2008;0;36.7822
EURCB;D;11.07.2008;0;36.8747
EURCB;D;12.07.2008;0;36.8774
EURCB;D;15.07.2008;0;36.9009
EURCB;D;16.07.2008;0;36.8759
EURCB;D;17.07.2008;0;36.8559
EURCB;D;18.07.2008;0;36.8093
EURCB;D;19.07.2008;0;36.7991
EURCB;D;22.07.2008;0;36.8142
EURCB;D;23.07.2008;0;36.9419
EURCB;D;24.07.2008;0;36.7695
EURCB;D;25.07.2008;0;36.6664
EURCB;D;26.07.2008;0;36.7128
EURCB;D;29.07.2008;0;36.6768
EURCB;D;30.07.2008;0;36.7203
EURCB;D;31.07.2008;0;36.5329
EURCB;D;01.08.2008;0;36.5752
EURCB;D;02.08.2008;0;36.5353
EURCB;D;05.08.2008;0;36.4586
EURCB;D;06.08.2008;0;36.3999
EURCB;D;07.08.2008;0;36.4564
EURCB;D;08.08.2008;0;36.4737
EURCB;D;09.08.2008;0;36.2996
EURCB;D;12.08.2008;0;36.7808
EURCB;D;13.08.2008;0;36.185
