<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>
ROSN;D;16/01/08;000000;212.9900000
ROSN;D;17/01/08;000000;209.2500000
ROSN;D;18/01/08;000000;206.2000000
ROSN;D;21/01/08;000000;194.7000000
ROSN;D;22/01/08;000000;188.0100000
ROSN;D;23/01/08;000000;175.6800000
ROSN;D;24/01/08;000000;186.5000000
ROSN;D;25/01/08;000000;189.1900000
ROSN;D;28/01/08;000000;179.6500000
ROSN;D;29/01/08;000000;186.0300000
ROSN;D;30/01/08;000000;180.8000000
ROSN;D;31/01/08;000000;172.0000000
ROSN;D;01/02/08;000000;179.5000000
ROSN;D;04/02/08;000000;183.5100000
ROSN;D;05/02/08;000000;180.0000000
ROSN;D;06/02/08;000000;176.8000000
ROSN;D;07/02/08;000000;169.1900000
ROSN;D;08/02/08;000000;166.3000000
ROSN;D;11/02/08;000000;173.4000000
ROSN;D;12/02/08;000000;180.4900000
ROSN;D;13/02/08;000000;186.3000000
ROSN;D;14/02/08;000000;192.1900000
ROSN;D;15/02/08;000000;192.9000000
ROSN;D;18/02/08;000000;199.8000000
ROSN;D;19/02/08;000000;201.8600000
ROSN;D;20/02/08;000000;198.1000000
ROSN;D;21/02/08;000000;200.9900000
ROSN;D;22/02/08;000000;201.9000000
ROSN;D;26/02/08;000000;201.6200000
ROSN;D;27/02/08;000000;199.8700000
ROSN;D;28/02/08;000000;199.0000000
ROSN;D;29/02/08;000000;196.0400000
ROSN;D;03/03/08;000000;196.5000000
ROSN;D;04/03/08;000000;199.6700000
ROSN;D;05/03/08;000000;201.9600000
ROSN;D;06/03/08;000000;199.9800000
ROSN;D;07/03/08;000000;196.0700000
ROSN;D;11/03/08;000000;202.2000000
ROSN;D;12/03/08;000000;204.1400000
ROSN;D;13/03/08;000000;200.5500000
ROSN;D;14/03/08;000000;201.4900000
ROSN;D;17/03/08;000000;195.0000000
ROSN;D;18/03/08;000000;195.4500000
ROSN;D;19/03/08;000000;193.8100000
ROSN;D;20/03/08;000000;187.9900000
ROSN;D;21/03/08;000000;193.0100000
ROSN;D;24/03/08;000000;199.8000000
ROSN;D;25/03/08;000000;193.9100000
ROSN;D;26/03/08;000000;198.2000000
ROSN;D;27/03/08;000000;206.4600000
ROSN;D;28/03/08;000000;212.9000000
ROSN;D;31/03/08;000000;211.2100000
ROSN;D;01/04/08;000000;212.9000000
ROSN;D;02/04/08;000000;213.7700000
ROSN;D;03/04/08;000000;212.4000000
ROSN;D;04/04/08;000000;213.4000000
ROSN;D;07/04/08;000000;219.8500000
ROSN;D;08/04/08;000000;216.1000000
ROSN;D;09/04/08;000000;220.6000000
ROSN;D;10/04/08;000000;227.2000000
ROSN;D;11/04/08;000000;222.5000000
ROSN;D;14/04/08;000000;224.0000000
ROSN;D;15/04/08;000000;231.0000000
ROSN;D;16/04/08;000000;231.9000000
ROSN;D;17/04/08;000000;227.8000000
ROSN;D;18/04/08;000000;231.9600000
ROSN;D;21/04/08;000000;229.0000000
ROSN;D;22/04/08;000000;231.1300000
ROSN;D;23/04/08;000000;233.8000000
ROSN;D;24/04/08;000000;229.8700000
ROSN;D;25/04/08;000000;232.3200000
ROSN;D;28/04/08;000000;233.0100000
ROSN;D;29/04/08;000000;232.3000000
ROSN;D;30/04/08;000000;231.2000000
ROSN;D;04/05/08;000000;232.3000000
ROSN;D;05/05/08;000000;231.5000000
ROSN;D;06/05/08;000000;229.7000000
ROSN;D;07/05/08;000000;232.9900000
ROSN;D;08/05/08;000000;248.5600000
ROSN;D;12/05/08;000000;259.5000000
ROSN;D;13/05/08;000000;264.5100000
ROSN;D;14/05/08;000000;280.9000000
ROSN;D;15/05/08;000000;273.3000000
ROSN;D;16/05/08;000000;278.5000000
ROSN;D;19/05/08;000000;268.9900000
ROSN;D;20/05/08;000000;265.2000000
ROSN;D;21/05/08;000000;268.3000000
ROSN;D;22/05/08;000000;262.0700000
ROSN;D;23/05/08;000000;270.7000000
