<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>
HYDR;D;22/05/08;000000;2.1040000
HYDR;D;23/05/08;000000;2.1400000
HYDR;D;26/05/08;000000;2.1430000
HYDR;D;27/05/08;000000;2.1200000
HYDR;D;28/05/08;000000;2.1070000
HYDR;D;29/05/08;000000;2.1040000
HYDR;D;30/05/08;000000;2.1150000
HYDR;D;02/06/08;000000;2.1310000
HYDR;D;03/06/08;000000;2.1770000
HYDR;D;04/06/08;000000;2.1500000
HYDR;D;05/06/08;000000;2.1130000
HYDR;D;06/06/08;000000;2.0600000
HYDR;D;07/06/08;000000;1.9800000
HYDR;D;09/06/08;000000;2.0610000
HYDR;D;10/06/08;000000;2.0700000
HYDR;D;11/06/08;000000;2.0610000
HYDR;D;16/06/08;000000;2.0270000
HYDR;D;17/06/08;000000;2.0360000
HYDR;D;18/06/08;000000;2.0280000
HYDR;D;19/06/08;000000;2.0120000
HYDR;D;20/06/08;000000;1.9940000
HYDR;D;23/06/08;000000;2.0120000
HYDR;D;24/06/08;000000;1.9900000
HYDR;D;25/06/08;000000;1.9850000
HYDR;D;26/06/08;000000;1.8800000
HYDR;D;27/06/08;000000;1.8510000
HYDR;D;30/06/08;000000;1.8380000
HYDR;D;01/07/08;000000;1.7910000
HYDR;D;02/07/08;000000;1.7790000
HYDR;D;03/07/08;000000;1.7400000
HYDR;D;04/07/08;000000;1.6470000
HYDR;D;07/07/08;000000;1.7080000
HYDR;D;08/07/08;000000;1.6030000
HYDR;D;09/07/08;000000;1.6060000
HYDR;D;10/07/08;000000;1.5920000
HYDR;D;11/07/08;000000;1.5340000
HYDR;D;14/07/08;000000;1.5510000
HYDR;D;15/07/08;000000;1.5140000
HYDR;D;16/07/08;000000;1.4850000
HYDR;D;17/07/08;000000;1.4720000
HYDR;D;18/07/08;000000;1.4590000
HYDR;D;21/07/08;000000;1.4640000
HYDR;D;22/07/08;000000;1.4540000
HYDR;D;23/07/08;000000;1.4170000
HYDR;D;24/07/08;000000;1.4000000
HYDR;D;25/07/08;000000;1.4290000
HYDR;D;28/07/08;000000;1.4000000
HYDR;D;29/07/08;000000;1.4000000
HYDR;D;30/07/08;000000;1.4860000
HYDR;D;31/07/08;000000;1.5200000
HYDR;D;01/08/08;000000;1.5500000
HYDR;D;04/08/08;000000;1.5290000
HYDR;D;05/08/08;000000;1.5000000
HYDR;D;06/08/08;000000;1.5080000
HYDR;D;07/08/08;000000;1.5500000
HYDR;D;08/08/08;000000;1.4850000
HYDR;D;11/08/08;000000;1.5080000
HYDR;D;12/08/08;000000;1.5720000
HYDR;D;13/08/08;000000;1.5710000
HYDR;D;14/08/08;000000;1.6670000
HYDR;D;15/08/08;000000;1.7330000
HYDR;D;18/08/08;000000;1.7240000
HYDR;D;19/08/08;000000;1.6200000
HYDR;D;20/08/08;000000;1.6570000
HYDR;D;21/08/08;000000;1.6370000
HYDR;D;22/08/08;000000;1.6290000
HYDR;D;25/08/08;000000;1.5400000
HYDR;D;26/08/08;000000;1.4670000
HYDR;D;27/08/08;000000;1.5120000
HYDR;D;28/08/08;000000;1.5830000
HYDR;D;29/08/08;000000;1.6790000
HYDR;D;01/09/08;000000;1.6530000
HYDR;D;02/09/08;000000;1.6840000
HYDR;D;03/09/08;000000;1.6660000
HYDR;D;04/09/08;000000;1.6500000
HYDR;D;05/09/08;000000;1.5930000
HYDR;D;08/09/08;000000;1.6190000
HYDR;D;09/09/08;000000;1.4730000
HYDR;D;10/09/08;000000;1.3000000
