<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>
SBER;D;16.01.2008;0;101.8
SBER;D;17.01.2008;0;101
SBER;D;18.01.2008;0;98.8
SBER;D;21.01.2008;0;91.25
SBER;D;22.01.2008;0;93
SBER;D;23.01.2008;0;90.5
SBER;D;24.01.2008;0;96.5
SBER;D;25.01.2008;0;94.3
SBER;D;28.01.2008;0;89.53
SBER;D;29.01.2008;0;94.21
SBER;D;30.01.2008;0;91.99
SBER;D;31.01.2008;0;87.89
SBER;D;01.02.2008;0;90.2
SBER;D;04.02.2008;0;90.8
SBER;D;05.02.2008;0;87.2
SBER;D;06.02.2008;0;88.2
SBER;D;07.02.2008;0;84.89
SBER;D;08.02.2008;0;83.89
SBER;D;11.02.2008;0;83.2
SBER;D;12.02.2008;0;85.39
SBER;D;13.02.2008;0;85.45
SBER;D;14.02.2008;0;85.46
SBER;D;15.02.2008;0;83.4
SBER;D;18.02.2008;0;84.84
SBER;D;19.02.2008;0;85
SBER;D;20.02.2008;0;83.09
SBER;D;21.02.2008;0;83.75
SBER;D;22.02.2008;0;82.99
SBER;D;26.02.2008;0;85.1
SBER;D;27.02.2008;0;83.78
SBER;D;28.02.2008;0;82.95
SBER;D;29.02.2008;0;80.2
SBER;D;03.03.2008;0;78.7
SBER;D;04.03.2008;0;76.5
SBER;D;05.03.2008;0;78.32
SBER;D;06.03.2008;0;77.1
SBER;D;07.03.2008;0;74.86
SBER;D;11.03.2008;0;78.6
SBER;D;12.03.2008;0;78.5
SBER;D;13.03.2008;0;75.9
SBER;D;14.03.2008;0;76.77
SBER;D;17.03.2008;0;72.81
SBER;D;18.03.2008;0;74.58
SBER;D;19.03.2008;0;74.5
SBER;D;20.03.2008;0;73.75
SBER;D;21.03.2008;0;74.46
SBER;D;24.03.2008;0;77.68
SBER;D;25.03.2008;0;75
SBER;D;26.03.2008;0;72.98
SBER;D;27.03.2008;0;72.95
SBER;D;28.03.2008;0;73.75
SBER;D;31.03.2008;0;73.48
SBER;D;01.04.2008;0;75.1
SBER;D;02.04.2008;0;78.75
SBER;D;03.04.2008;0;76.72
SBER;D;04.04.2008;0;77.35
SBER;D;07.04.2008;0;79.14
SBER;D;08.04.2008;0;77.5
SBER;D;09.04.2008;0;78.55
SBER;D;10.04.2008;0;77.3
SBER;D;11.04.2008;0;74.4
SBER;D;14.04.2008;0;73.96
SBER;D;15.04.2008;0;73.65
SBER;D;16.04.2008;0;75
SBER;D;17.04.2008;0;73.59
SBER;D;18.04.2008;0;76.56
SBER;D;21.04.2008;0;75.13
SBER;D;22.04.2008;0;74.86
SBER;D;23.04.2008;0;74.19
SBER;D;24.04.2008;0;73.99
SBER;D;25.04.2008;0;74.88
SBER;D;28.04.2008;0;75.54
SBER;D;29.04.2008;0;76.85
SBER;D;30.04.2008;0;77.1
SBER;D;04.05.2008;0;80.34
SBER;D;05.05.2008;0;80.8
SBER;D;06.05.2008;0;80.1
SBER;D;07.05.2008;0;82.25
SBER;D;08.05.2008;0;81.45
SBER;D;12.05.2008;0;83.1
SBER;D;13.05.2008;0;82.78
SBER;D;14.05.2008;0;84.1
SBER;D;15.05.2008;0;84
SBER;D;16.05.2008;0;85.7
SBER;D;19.05.2008;0;88.7
SBER;D;20.05.2008;0;87.36
SBER;D;21.05.2008;0;87.38
SBER;D;22.05.2008;0;85.58
SBER;D;23.05.2008;0;86.32
SBER;D;26.05.2008;0;84.4
SBER;D;27.05.2008;0;83.35
SBER;D;28.05.2008;0;84.79
SBER;D;29.05.2008;0;85.05
SBER;D;30.05.2008;0;85.2
SBER;D;02.06.2008;0;84.6
SBER;D;03.06.2008;0;83.89
SBER;D;04.06.2008;0;82.5
SBER;D;05.06.2008;0;82.2
SBER;D;06.06.2008;0;81
SBER;D;07.06.2008;0;78.62
SBER;D;09.06.2008;0;79.18
SBER;D;10.06.2008;0;78.86
SBER;D;11.06.2008;0;78.5
SBER;D;16.06.2008;0;78.89
SBER;D;17.06.2008;0;81.05
SBER;D;18.06.2008;0;80.65
SBER;D;19.06.2008;0;80.22
SBER;D;20.06.2008;0;79
SBER;D;23.06.2008;0;78.09
SBER;D;24.06.2008;0;76.41
SBER;D;25.06.2008;0;78
SBER;D;26.06.2008;0;77.47
SBER;D;27.06.2008;0;75.99
SBER;D;30.06.2008;0;74.29
SBER;D;01.07.2008;0;71.48
SBER;D;02.07.2008;0;72.7
SBER;D;03.07.2008;0;72.6
SBER;D;04.07.2008;0;72.32
SBER;D;07.07.2008;0;73.47
SBER;D;08.07.2008;0;74.28
SBER;D;09.07.2008;0;75.3
SBER;D;10.07.2008;0;75.1
SBER;D;11.07.2008;0;72.77
SBER;D;14.07.2008;0;74.64
SBER;D;15.07.2008;0;72.22
SBER;D;16.07.2008;0;72.78
SBER;D;17.07.2008;0;77.35
SBER;D;18.07.2008;0;75.35
SBER;D;21.07.2008;0;77
SBER;D;22.07.2008;0;74.35
SBER;D;23.07.2008;0;75.9
SBER;D;24.07.2008;0;75.71
SBER;D;25.07.2008;0;70.25
SBER;D;28.07.2008;0;69.64
SBER;D;29.07.2008;0;66.3
SBER;D;30.07.2008;0;70.15
SBER;D;31.07.2008;0;69.09
SBER;D;01.08.2008;0;67.66
SBER;D;04.08.2008;0;63.77
SBER;D;05.08.2008;0;62.17
SBER;D;06.08.2008;0;63.4
SBER;D;07.08.2008;0;64
