<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>
USDCB;D;16/01/08;000000;24.2858000
USDCB;D;17/01/08;000000;24.3367000
USDCB;D;18/01/08;000000;24.5043000
USDCB;D;19/01/08;000000;24.5076000
USDCB;D;22/01/08;000000;24.6456000
USDCB;D;23/01/08;000000;24.8917000
USDCB;D;24/01/08;000000;24.6325000
USDCB;D;25/01/08;000000;24.6349000
USDCB;D;26/01/08;000000;24.4386000
USDCB;D;29/01/08;000000;24.5952000
USDCB;D;30/01/08;000000;24.4750000
USDCB;D;31/01/08;000000;24.4764000
USDCB;D;01/02/08;000000;24.4262000
USDCB;D;02/02/08;000000;24.4201000
USDCB;D;05/02/08;000000;24.4543000
USDCB;D;06/02/08;000000;24.5211000
USDCB;D;07/02/08;000000;24.6706000
USDCB;D;08/02/08;000000;24.6466000
USDCB;D;09/02/08;000000;24.7813000
USDCB;D;12/02/08;000000;24.6715000
USDCB;D;13/02/08;000000;24.6537000
USDCB;D;14/02/08;000000;24.6655000
USDCB;D;15/02/08;000000;24.6392000
USDCB;D;16/02/08;000000;24.5861000
USDCB;D;19/02/08;000000;24.5767000
USDCB;D;20/02/08;000000;24.5206000
USDCB;D;21/02/08;000000;24.5486000
USDCB;D;22/02/08;000000;24.5299000
USDCB;D;23/02/08;000000;24.4663000
USDCB;D;27/02/08;000000;24.4558000
USDCB;D;28/02/08;000000;24.1966000
USDCB;D;29/02/08;000000;24.1159000
USDCB;D;01/03/08;000000;24.0023000
USDCB;D;04/03/08;000000;24.0103000
USDCB;D;05/03/08;000000;24.0480000
USDCB;D;06/03/08;000000;24.0473000
USDCB;D;07/03/08;000000;23.9349000
USDCB;D;08/03/08;000000;23.8353000
USDCB;D;12/03/08;000000;23.8587000
USDCB;D;13/03/08;000000;23.8461000
USDCB;D;14/03/08;000000;23.6924000
USDCB;D;15/03/08;000000;23.6490000
USDCB;D;18/03/08;000000;23.5126000
USDCB;D;19/03/08;000000;23.5325000
USDCB;D;20/03/08;000000;23.5581000
USDCB;D;21/03/08;000000;23.6781000
USDCB;D;22/03/08;000000;23.7773000
USDCB;D;25/03/08;000000;23.8351000
USDCB;D;26/03/08;000000;23.7010000
USDCB;D;27/03/08;000000;23.6559000
USDCB;D;28/03/08;000000;23.5171000
USDCB;D;29/03/08;000000;23.5156000
USDCB;D;01/04/08;000000;23.5027000
USDCB;D;02/04/08;000000;23.5799000
USDCB;D;03/04/08;000000;23.6706000
USDCB;D;04/04/08;000000;23.6153000
USDCB;D;05/04/08;000000;23.5982000
USDCB;D;08/04/08;000000;23.6028000
USDCB;D;09/04/08;000000;23.5330000
USDCB;D;10/04/08;000000;23.5437000
USDCB;D;11/04/08;000000;23.4628000
USDCB;D;12/04/08;000000;23.4825000
USDCB;D;15/04/08;000000;23.5139000
USDCB;D;16/04/08;000000;23.4549000
USDCB;D;17/04/08;000000;23.4482000
USDCB;D;18/04/08;000000;23.3703000
USDCB;D;19/04/08;000000;23.3696000
USDCB;D;22/04/08;000000;23.4704000
USDCB;D;23/04/08;000000;23.4299000
USDCB;D;24/04/08;000000;23.3448000
USDCB;D;25/04/08;000000;23.4391000
USDCB;D;26/04/08;000000;23.6007000
USDCB;D;29/04/08;000000;23.6037000
USDCB;D;30/04/08;000000;23.6471000
USDCB;D;01/05/08;000000;23.6588000
USDCB;D;05/05/08;000000;23.7939000
USDCB;D;06/05/08;000000;23.7633000
USDCB;D;07/05/08;000000;23.7456000
USDCB;D;08/05/08;000000;23.7523000
USDCB;D;09/05/08;000000;23.8833000
USDCB;D;13/05/08;000000;23.8328000
USDCB;D;14/05/08;000000;23.7199000
USDCB;D;15/05/08;000000;23.8521000
USDCB;D;16/05/08;000000;23.8482000
USDCB;D;17/05/08;000000;23.8391000
USDCB;D;20/05/08;000000;23.7238000
USDCB;D;21/05/08;000000;23.7462000
USDCB;D;22/05/08;000000;23.6874000
USDCB;D;23/05/08;000000;23.5758000
USDCB;D;24/05/08;000000;23.6007000
USDCB;D;27/05/08;000000;23.5483000
USDCB;D;28/05/08;000000;23.5513000
USDCB;D;29/05/08;000000;23.5847000
USDCB;D;30/05/08;000000;23.6659000
USDCB;D;31/05/08;000000;23.7384000
USDCB;D;03/06/08;000000;23.7473000
USDCB;D;04/06/08;000000;23.6968000
