<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>;;;;data;rates
AFLT;D;16.01.2008;0;96.55;;16.01.2008;96.55;96.55;
AFLT;D;17.01.2008;0;95;;17.01.2008;95;95;-0.016053858
AFLT;D;18.01.2008;0;93.87;;18.01.2008;93.87;93.87;-0.011894737
AFLT;D;21.01.2008;0;89.75;;19.01.2008;#Í/Ä;93.87;0
AFLT;D;22.01.2008;0;88.49;;20.01.2008;#Í/Ä;93.87;0
AFLT;D;23.01.2008;0;86;;21.01.2008;89.75;89.75;-0.043890487
AFLT;D;24.01.2008;0;90.79;;22.01.2008;88.49;88.49;-0.014038997
AFLT;D;25.01.2008;0;92.7;;23.01.2008;86;86;-0.028138773
AFLT;D;28.01.2008;0;90;;24.01.2008;90.79;90.79;0.055697674
AFLT;D;29.01.2008;0;90.4;;25.01.2008;92.7;92.7;0.021037559
AFLT;D;30.01.2008;0;90.87;;26.01.2008;#Í/Ä;92.7;0
AFLT;D;31.01.2008;0;90;;27.01.2008;#Í/Ä;92.7;0
AFLT;D;01.02.2008;0;93.47;;28.01.2008;90;90;-0.029126214
AFLT;D;04.02.2008;0;101.49;;29.01.2008;90.4;90.4;0.004444444
AFLT;D;05.02.2008;0;98;;30.01.2008;90.87;90.87;0.005199115
AFLT;D;06.02.2008;0;99.4;;31.01.2008;90;90;-0.009574117
AFLT;D;07.02.2008;0;98.86;;01.02.2008;93.47;93.47;0.038555556
AFLT;D;08.02.2008;0;98.58;;02.02.2008;#Í/Ä;93.47;0
AFLT;D;11.02.2008;0;99.71;;03.02.2008;#Í/Ä;93.47;0
AFLT;D;12.02.2008;0;103.5;;04.02.2008;101.49;101.49;0.085802931
AFLT;D;13.02.2008;0;106.2;;05.02.2008;98;98;-0.034387624
AFLT;D;14.02.2008;0;108;;06.02.2008;99.4;99.4;0.014285714
AFLT;D;15.02.2008;0;106.77;;07.02.2008;98.86;98.86;-0.005432596
AFLT;D;18.02.2008;0;108.7;;08.02.2008;98.58;98.58;-0.002832288
AFLT;D;19.02.2008;0;108.4;;09.02.2008;#Í/Ä;98.58;0
AFLT;D;20.02.2008;0;108;;10.02.2008;#Í/Ä;98.58;0
AFLT;D;21.02.2008;0;108.19;;11.02.2008;99.71;99.71;0.011462771
AFLT;D;22.02.2008;0;107.6;;12.02.2008;103.5;103.5;0.03801023
AFLT;D;26.02.2008;0;107.7;;13.02.2008;106.2;106.2;0.026086957
AFLT;D;27.02.2008;0;107;;14.02.2008;108;108;0.016949153
AFLT;D;28.02.2008;0;106.5;;15.02.2008;106.77;106.77;-0.011388889
AFLT;D;29.02.2008;0;105.56;;16.02.2008;#Í/Ä;106.77;0
AFLT;D;03.03.2008;0;104.42;;17.02.2008;#Í/Ä;106.77;0
AFLT;D;04.03.2008;0;105;;18.02.2008;108.7;108.7;0.018076239
AFLT;D;05.03.2008;0;105.5;;19.02.2008;108.4;108.4;-0.00275989
AFLT;D;06.03.2008;0;105.1;;20.02.2008;108;108;-0.003690037
AFLT;D;07.03.2008;0;102.49;;21.02.2008;108.19;108.19;0.001759259
AFLT;D;11.03.2008;0;103.7;;22.02.2008;107.6;107.6;-0.005453369
AFLT;D;12.03.2008;0;105.49;;23.02.2008;#Í/Ä;107.6;0
AFLT;D;13.03.2008;0;104.9;;24.02.2008;#Í/Ä;107.6;0
AFLT;D;14.03.2008;0;103.01;;25.02.2008;#Í/Ä;107.6;0
AFLT;D;17.03.2008;0;100.1;;26.02.2008;107.7;107.7;0.000929368
AFLT;D;18.03.2008;0;100.94;;27.02.2008;107;107;-0.006499536
AFLT;D;19.03.2008;0;98.54;;28.02.2008;106.5;106.5;-0.004672897
AFLT;D;20.03.2008;0;96.51;;29.02.2008;105.56;105.56;-0.008826291
AFLT;D;21.03.2008;0;94.76;;01.03.2008;#Í/Ä;105.56;0
AFLT;D;24.03.2008;0;94;;02.03.2008;#Í/Ä;105.56;0
AFLT;D;25.03.2008;0;96.74;;03.03.2008;104.42;104.42;-0.010799545
AFLT;D;26.03.2008;0;96.49;;04.03.2008;105;105;0.005554491
AFLT;D;27.03.2008;0;97.96;;05.03.2008;105.5;105.5;0.004761905
AFLT;D;28.03.2008;0;99.41;;06.03.2008;105.1;105.1;-0.003791469
AFLT;D;31.03.2008;0;99.41;;07.03.2008;102.49;102.49;-0.024833492
AFLT;D;01.04.2008;0;100.49;;08.03.2008;#Í/Ä;102.49;0
AFLT;D;02.04.2008;0;100.7;;09.03.2008;#Í/Ä;102.49;0
AFLT;D;03.04.2008;0;100.9;;10.03.2008;#Í/Ä;102.49;0
AFLT;D;04.04.2008;0;100.93;;11.03.2008;103.7;103.7;0.01180603
AFLT;D;07.04.2008;0;100.48;;12.03.2008;105.49;105.49;0.017261331
AFLT;D;08.04.2008;0;100.3;;13.03.2008;104.9;104.9;-0.005592947
AFLT;D;09.04.2008;0;100.76;;14.03.2008;103.01;103.01;-0.018017159
AFLT;D;10.04.2008;0;100.2;;15.03.2008;#Í/Ä;103.01;0
AFLT;D;11.04.2008;0;100.37;;16.03.2008;#Í/Ä;103.01;0
AFLT;D;14.04.2008;0;99.7;;17.03.2008;100.1;100.1;-0.028249684
AFLT;D;15.04.2008;0;100.4;;18.03.2008;100.94;100.94;0.008391608
AFLT;D;16.04.2008;0;100.6;;19.03.2008;98.54;98.54;-0.023776501
AFLT;D;17.04.2008;0;101.1;;20.03.2008;96.51;96.51;-0.020600771
AFLT;D;18.04.2008;0;103.25;;21.03.2008;94.76;94.76;-0.018132836
AFLT;D;21.04.2008;0;103;;22.03.2008;#Í/Ä;94.76;0
AFLT;D;22.04.2008;0;100.85;;23.03.2008;#Í/Ä;94.76;0
AFLT;D;23.04.2008;0;101;;24.03.2008;94;94;-0.008020262
AFLT;D;24.04.2008;0;101.36;;25.03.2008;96.74;96.74;0.029148936
AFLT;D;25.04.2008;0;101.65;;26.03.2008;96.49;96.49;-0.002584246
AFLT;D;28.04.2008;0;100.87;;27.03.2008;97.96;97.96;0.015234739
AFLT;D;29.04.2008;0;101;;28.03.2008;99.41;99.41;0.01480196
AFLT;D;30.04.2008;0;101.89;;29.03.2008;#Í/Ä;99.41;0
AFLT;D;04.05.2008;0;102.7;;30.03.2008;#Í/Ä;99.41;0
AFLT;D;05.05.2008;0;103;;31.03.2008;99.41;99.41;0
