<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>
NYMEX.NG;D;16/01/08;000000;8.1350000
NYMEX.NG;D;17/01/08;000000;8.0700000
NYMEX.NG;D;18/01/08;000000;7.9180000
NYMEX.NG;D;19/01/08;000000;7.9880000
NYMEX.NG;D;21/01/08;000000;7.8250000
NYMEX.NG;D;22/01/08;000000;7.6340000
NYMEX.NG;D;23/01/08;000000;7.6640000
NYMEX.NG;D;24/01/08;000000;7.8280000
NYMEX.NG;D;25/01/08;000000;7.9770000
NYMEX.NG;D;26/01/08;000000;7.9880000
NYMEX.NG;D;28/01/08;000000;8.0970000
NYMEX.NG;D;29/01/08;000000;7.9900000
NYMEX.NG;D;30/01/08;000000;8.0530000
NYMEX.NG;D;31/01/08;000000;8.0590000
NYMEX.NG;D;01/02/08;000000;7.7280000
NYMEX.NG;D;02/02/08;000000;7.7190000
NYMEX.NG;D;04/02/08;000000;7.8530000
NYMEX.NG;D;05/02/08;000000;7.9640000
NYMEX.NG;D;06/02/08;000000;7.9810000
NYMEX.NG;D;07/02/08;000000;8.1600000
NYMEX.NG;D;08/02/08;000000;8.2610000
NYMEX.NG;D;09/02/08;000000;8.2500000
NYMEX.NG;D;11/02/08;000000;8.5260000
NYMEX.NG;D;12/02/08;000000;8.3830000
NYMEX.NG;D;13/02/08;000000;8.3850000
NYMEX.NG;D;14/02/08;000000;8.7620000
NYMEX.NG;D;15/02/08;000000;8.6670000
NYMEX.NG;D;16/02/08;000000;8.6970000
NYMEX.NG;D;18/02/08;000000;8.7850000
NYMEX.NG;D;19/02/08;000000;8.9950000
NYMEX.NG;D;20/02/08;000000;8.9230000
NYMEX.NG;D;21/02/08;000000;8.8830000
NYMEX.NG;D;22/02/08;000000;9.2100000
NYMEX.NG;D;23/02/08;000000;9.2390000
NYMEX.NG;D;25/02/08;000000;9.1760000
NYMEX.NG;D;26/02/08;000000;9.1560000
NYMEX.NG;D;27/02/08;000000;8.9900000
NYMEX.NG;D;28/02/08;000000;9.4560000
NYMEX.NG;D;29/02/08;000000;9.3580000
NYMEX.NG;D;01/03/08;000000;9.3950000
NYMEX.NG;D;03/03/08;000000;9.3170000
NYMEX.NG;D;04/03/08;000000;9.3820000
NYMEX.NG;D;05/03/08;000000;9.7630000
NYMEX.NG;D;06/03/08;000000;9.7640000
NYMEX.NG;D;07/03/08;000000;9.7870000
NYMEX.NG;D;08/03/08;000000;9.8170000
NYMEX.NG;D;10/03/08;000000;10.0440000
NYMEX.NG;D;11/03/08;000000;10.0320000
NYMEX.NG;D;12/03/08;000000;10.0520000
NYMEX.NG;D;13/03/08;000000;10.2500000
NYMEX.NG;D;14/03/08;000000;9.8300000
NYMEX.NG;D;15/03/08;000000;9.8000000
NYMEX.NG;D;17/03/08;000000;9.1800000
NYMEX.NG;D;18/03/08;000000;9.4400000
NYMEX.NG;D;19/03/08;000000;8.9910000
NYMEX.NG;D;20/03/08;000000;9.1210000
NYMEX.NG;D;21/03/08;000000;9.1400000
NYMEX.NG;D;24/03/08;000000;9.3530000
NYMEX.NG;D;25/03/08;000000;9.4450000
NYMEX.NG;D;26/03/08;000000;9.5580000
NYMEX.NG;D;27/03/08;000000;9.6870000
NYMEX.NG;D;28/03/08;000000;9.8280000
NYMEX.NG;D;29/03/08;000000;9.8240000
NYMEX.NG;D;30/03/08;000000;10.1010000
NYMEX.NG;D;31/03/08;000000;10.0950000
NYMEX.NG;D;01/04/08;000000;9.5850000
NYMEX.NG;D;02/04/08;000000;9.8280000
NYMEX.NG;D;03/04/08;000000;9.3820000
NYMEX.NG;D;04/04/08;000000;9.3320000
NYMEX.NG;D;05/04/08;000000;9.2900000
NYMEX.NG;D;06/04/08;000000;9.7910000
NYMEX.NG;D;07/04/08;000000;9.7360000
NYMEX.NG;D;08/04/08;000000;9.7170000
NYMEX.NG;D;09/04/08;000000;10.1080000
NYMEX.NG;D;10/04/08;000000;10.0270000
NYMEX.NG;D;11/04/08;000000;9.9150000
NYMEX.NG;D;12/04/08;000000;9.8850000
NYMEX.NG;D;13/04/08;000000;10.0530000
NYMEX.NG;D;14/04/08;000000;10.0740000
NYMEX.NG;D;15/04/08;000000;10.2490000
NYMEX.NG;D;16/04/08;000000;10.4140000
NYMEX.NG;D;17/04/08;000000;10.3450000
NYMEX.NG;D;18/04/08;000000;10.6400000
NYMEX.NG;D;19/04/08;000000;10.6500000
NYMEX.NG;D;20/04/08;000000;10.7330000
NYMEX.NG;D;21/04/08;000000;10.7030000
NYMEX.NG;D;22/04/08;000000;10.5610000
NYMEX.NG;D;23/04/08;000000;10.8250000
NYMEX.NG;D;24/04/08;000000;10.7840000
NYMEX.NG;D;25/04/08;000000;10.9890000
NYMEX.NG;D;26/04/08;000000;11.0200000
NYMEX.NG;D;27/04/08;000000;11.3290000
NYMEX.NG;D;28/04/08;000000;11.2740000
NYMEX.NG;D;29/04/08;000000;10.7860000
NYMEX.NG;D;30/04/08;000000;10.9140000
NYMEX.NG;D;01/05/08;000000;10.5570000
NYMEX.NG;D;02/05/08;000000;10.7400000
NYMEX.NG;D;03/05/08;000000;10.7820000
NYMEX.NG;D;04/05/08;000000;11.1780000
NYMEX.NG;D;05/05/08;000000;11.1900000
NYMEX.NG;D;06/05/08;000000;11.0910000
NYMEX.NG;D;07/05/08;000000;11.3250000
NYMEX.NG;D;08/05/08;000000;11.2920000
NYMEX.NG;D;09/05/08;000000;11.5800000
NYMEX.NG;D;10/05/08;000000;11.6050000
NYMEX.NG;D;11/05/08;000000;11.3010000
NYMEX.NG;D;12/05/08;000000;11.2790000
NYMEX.NG;D;13/05/08;000000;11.4100000
NYMEX.NG;D;14/05/08;000000;11.5550000
NYMEX.NG;D;15/05/08;000000;11.3950000
NYMEX.NG;D;16/05/08;000000;11.0800000
NYMEX.NG;D;17/05/08;000000;11.0950000
NYMEX.NG;D;18/05/08;000000;10.9540000
NYMEX.NG;D;19/05/08;000000;10.9520000
NYMEX.NG;D;20/05/08;000000;11.3780000
NYMEX.NG;D;21/05/08;000000;11.7110000
NYMEX.NG;D;22/05/08;000000;11.6750000
NYMEX.NG;D;23/05/08;000000;11.8830000
NYMEX.NG;D;24/05/08;000000;11.9420000
NYMEX.NG;D;26/05/08;000000;12.0420000
NYMEX.NG;D;27/05/08;000000;11.8000000
NYMEX.NG;D;28/05/08;000000;11.9160000
NYMEX.NG;D;29/05/08;000000;11.4690000
NYMEX.NG;D;30/05/08;000000;11.7600000
NYMEX.NG;D;31/05/08;000000;11.7820000
NYMEX.NG;D;01/06/08;000000;11.9690000
NYMEX.NG;D;02/06/08;000000;12.0500000
NYMEX.NG;D;03/06/08;000000;12.2470000
NYMEX.NG;D;04/06/08;000000;12.4220000
NYMEX.NG;D;05/06/08;000000;12.5130000
NYMEX.NG;D;06/06/08;000000;12.6860000
NYMEX.NG;D;07/06/08;000000;12.6720000
NYMEX.NG;D;08/06/08;000000;12.6040000
NYMEX.NG;D;09/06/08;000000;12.6220000
NYMEX.NG;D;10/06/08;000000;12.4400000
NYMEX.NG;D;11/06/08;000000;12.6900000
NYMEX.NG;D;12/06/08;000000;12.8040000
NYMEX.NG;D;13/06/08;000000;12.6270000
NYMEX.NG;D;14/06/08;000000;12.6150000
NYMEX.NG;D;15/06/08;000000;12.9330000
NYMEX.NG;D;16/06/08;000000;12.9050000
NYMEX.NG;D;17/06/08;000000;12.9810000
NYMEX.NG;D;18/06/08;000000;13.2640000
NYMEX.NG;D;19/06/08;000000;12.8100000
NYMEX.NG;D;20/06/08;000000;13.0110000
NYMEX.NG;D;21/06/08;000000;12.9970000
NYMEX.NG;D;22/06/08;000000;13.2030000
NYMEX.NG;D;23/06/08;000000;13.2220000
NYMEX.NG;D;24/06/08;000000;13.0140000
NYMEX.NG;D;25/06/08;000000;12.6910000
NYMEX.NG;D;26/06/08;000000;13.1300000
NYMEX.NG;D;27/06/08;000000;13.2610000
NYMEX.NG;D;28/06/08;000000;13.2420000
NYMEX.NG;D;29/06/08;000000;13.3530000
NYMEX.NG;D;30/06/08;000000;13.3840000
NYMEX.NG;D;01/07/08;000000;13.5270000
NYMEX.NG;D;02/07/08;000000;13.4120000
NYMEX.NG;D;03/07/08;000000;13.6000000
NYMEX.NG;D;04/07/08;000000;13.5700000
NYMEX.NG;D;05/07/08;000000;13.5720000
NYMEX.NG;D;06/07/08;000000;12.9770000
NYMEX.NG;D;07/07/08;000000;13.0020000
NYMEX.NG;D;08/07/08;000000;12.3090000
NYMEX.NG;D;09/07/08;000000;11.9160000
NYMEX.NG;D;10/07/08;000000;12.4100000
NYMEX.NG;D;11/07/08;000000;11.8550000
NYMEX.NG;D;12/07/08;000000;11.8200000
NYMEX.NG;D;13/07/08;000000;11.9400000
NYMEX.NG;D;14/07/08;000000;11.9540000
NYMEX.NG;D;15/07/08;000000;11.4630000
NYMEX.NG;D;16/07/08;000000;11.4520000
NYMEX.NG;D;17/07/08;000000;10.6110000
NYMEX.NG;D;18/07/08;000000;10.6840000
NYMEX.NG;D;19/07/08;000000;10.6600000
NYMEX.NG;D;20/07/08;000000;10.5030000
NYMEX.NG;D;21/07/08;000000;10.5620000
NYMEX.NG;D;22/07/08;000000;10.0650000
NYMEX.NG;D;23/07/08;000000;9.7000000
NYMEX.NG;D;24/07/08;000000;9.3050000
NYMEX.NG;D;25/07/08;000000;9.0710000
NYMEX.NG;D;26/07/08;000000;9.0600000
NYMEX.NG;D;27/07/08;000000;9.2200000
NYMEX.NG;D;28/07/08;000000;9.1350000
NYMEX.NG;D;29/07/08;000000;9.2050000
NYMEX.NG;D;30/07/08;000000;9.0320000
NYMEX.NG;D;31/07/08;000000;9.1010000
NYMEX.NG;D;01/08/08;000000;9.4050000
NYMEX.NG;D;02/08/08;000000;9.4100000
