<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>
comex.GC;D;16/01/08;000000;878.3000000
comex.GC;D;17/01/08;000000;876.7000000
comex.GC;D;18/01/08;000000;885.5000000
comex.GC;D;19/01/08;000000;883.8000000
comex.GC;D;21/01/08;000000;865.0000000
comex.GC;D;22/01/08;000000;893.2000000
comex.GC;D;23/01/08;000000;889.8000000
comex.GC;D;24/01/08;000000;912.3000000
comex.GC;D;25/01/08;000000;914.0000000
comex.GC;D;26/01/08;000000;914.1000000
comex.GC;D;28/01/08;000000;929.2000000
comex.GC;D;29/01/08;000000;922.1000000
comex.GC;D;30/01/08;000000;931.1000000
comex.GC;D;31/01/08;000000;926.0000000
comex.GC;D;01/02/08;000000;909.0000000
comex.GC;D;02/02/08;000000;910.5000000
comex.GC;D;04/02/08;000000;907.0000000
comex.GC;D;05/02/08;000000;892.1000000
comex.GC;D;06/02/08;000000;904.2000000
comex.GC;D;07/02/08;000000;913.5000000
comex.GC;D;08/02/08;000000;924.6000000
comex.GC;D;09/02/08;000000;927.1000000
comex.GC;D;11/02/08;000000;928.3000000
comex.GC;D;12/02/08;000000;908.2000000
comex.GC;D;13/02/08;000000;908.7000000
comex.GC;D;14/02/08;000000;911.3000000
comex.GC;D;15/02/08;000000;905.5000000
comex.GC;D;16/02/08;000000;905.0000000
comex.GC;D;18/02/08;000000;909.3000000
comex.GC;D;19/02/08;000000;930.4000000
comex.GC;D;20/02/08;000000;946.4000000
comex.GC;D;21/02/08;000000;947.3000000
comex.GC;D;22/02/08;000000;948.1000000
comex.GC;D;23/02/08;000000;947.1000000
comex.GC;D;25/02/08;000000;941.2000000
comex.GC;D;26/02/08;000000;951.2000000
comex.GC;D;27/02/08;000000;961.8000000
comex.GC;D;28/02/08;000000;974.2000000
comex.GC;D;29/02/08;000000;975.7000000
comex.GC;D;01/03/08;000000;976.7000000
comex.GC;D;03/03/08;000000;986.3000000
comex.GC;D;04/03/08;000000;965.8000000
comex.GC;D;05/03/08;000000;991.4000000
comex.GC;D;06/03/08;000000;978.5000000
comex.GC;D;07/03/08;000000;974.6000000
comex.GC;D;08/03/08;000000;974.7000000
comex.GC;D;10/03/08;000000;974.4000000
comex.GC;D;11/03/08;000000;974.9000000
comex.GC;D;12/03/08;000000;984.1000000
comex.GC;D;13/03/08;000000;996.0000000
comex.GC;D;14/03/08;000000;1004.1000000
comex.GC;D;15/03/08;000000;1003.3000000
comex.GC;D;17/03/08;000000;1003.0000000
comex.GC;D;18/03/08;000000;982.0000000
comex.GC;D;19/03/08;000000;945.2000000
comex.GC;D;20/03/08;000000;910.4000000
comex.GC;D;21/03/08;000000;910.1000000
comex.GC;D;24/03/08;000000;915.5000000
comex.GC;D;25/03/08;000000;939.1000000
comex.GC;D;26/03/08;000000;954.0000000
comex.GC;D;27/03/08;000000;947.5000000
comex.GC;D;28/03/08;000000;929.4000000
comex.GC;D;29/03/08;000000;929.2000000
comex.GC;D;31/03/08;000000;916.0000000
comex.GC;D;01/04/08;000000;880.3000000
comex.GC;D;02/04/08;000000;908.3000000
comex.GC;D;03/04/08;000000;909.3000000
comex.GC;D;04/04/08;000000;917.6000000
comex.GC;D;05/04/08;000000;917.3000000
comex.GC;D;07/04/08;000000;927.5000000
comex.GC;D;08/04/08;000000;919.3000000
comex.GC;D;09/04/08;000000;938.5000000
comex.GC;D;10/04/08;000000;933.2000000
comex.GC;D;11/04/08;000000;928.5000000
comex.GC;D;12/04/08;000000;928.3000000
comex.GC;D;14/04/08;000000;926.2000000
comex.GC;D;15/04/08;000000;931.8000000
comex.GC;D;16/04/08;000000;947.8000000
comex.GC;D;17/04/08;000000;940.7000000
comex.GC;D;18/04/08;000000;920.9000000
comex.GC;D;19/04/08;000000;919.3000000
comex.GC;D;21/04/08;000000;918.5000000
comex.GC;D;22/04/08;000000;917.3000000
comex.GC;D;23/04/08;000000;906.9000000
comex.GC;D;24/04/08;000000;886.9000000
comex.GC;D;25/04/08;000000;886.7000000
comex.GC;D;26/04/08;000000;888.5000000
comex.GC;D;28/04/08;000000;896.2000000
comex.GC;D;29/04/08;000000;871.5000000
comex.GC;D;30/04/08;000000;879.0000000
