<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>;;;
NYMEX.XRB;D;16.01.2008;0;2.2783;;;16.01.2008
NYMEX.XRB;D;17.01.2008;0;2.2653;;;17.01.2008
NYMEX.XRB;D;18.01.2008;0;2.303;;;18.01.2008
NYMEX.XRB;D;19.01.2008;0;2.3065;;;19.01.2008
NYMEX.XRB;D;21.01.2008;0;2.2626;;;20.01.2008
NYMEX.XRB;D;22.01.2008;0;2.2762;;;21.01.2008
NYMEX.XRB;D;23.01.2008;0;2.267;;;22.01.2008
NYMEX.XRB;D;24.01.2008;0;2.283;;;23.01.2008
NYMEX.XRB;D;25.01.2008;0;2.3182;;;24.01.2008
NYMEX.XRB;D;26.01.2008;0;2.3215;;;25.01.2008
NYMEX.XRB;D;28.01.2008;0;2.33;;;26.01.2008
NYMEX.XRB;D;29.01.2008;0;2.3335;;;27.01.2008
NYMEX.XRB;D;30.01.2008;0;2.3315;;;28.01.2008
NYMEX.XRB;D;31.01.2008;0;2.295;;;29.01.2008
NYMEX.XRB;D;01.02.2008;0;2.283;;;30.01.2008
NYMEX.XRB;D;02.02.2008;0;2.2834;;;31.01.2008
NYMEX.XRB;D;04.02.2008;0;2.3112;;;01.02.2008
NYMEX.XRB;D;05.02.2008;0;2.2577;;;02.02.2008
NYMEX.XRB;D;06.02.2008;0;2.236;;;03.02.2008
NYMEX.XRB;D;07.02.2008;0;2.268;;;04.02.2008
NYMEX.XRB;D;08.02.2008;0;2.3569;;;05.02.2008
NYMEX.XRB;D;09.02.2008;0;2.354;;;06.02.2008
NYMEX.XRB;D;11.02.2008;0;2.3965;;;07.02.2008
NYMEX.XRB;D;12.02.2008;0;2.3597;;;08.02.2008
NYMEX.XRB;D;13.02.2008;0;2.3905;;;09.02.2008
NYMEX.XRB;D;14.02.2008;0;2.472;;;10.02.2008
NYMEX.XRB;D;15.02.2008;0;2.49;;;11.02.2008
NYMEX.XRB;D;16.02.2008;0;2.494;;;12.02.2008
NYMEX.XRB;D;18.02.2008;0;2.5228;;;13.02.2008
NYMEX.XRB;D;19.02.2008;0;2.585;;;14.02.2008
NYMEX.XRB;D;20.02.2008;0;2.585;;;15.02.2008
NYMEX.XRB;D;21.02.2008;0;2.495;;;16.02.2008
NYMEX.XRB;D;22.02.2008;0;2.5425;;;17.02.2008
NYMEX.XRB;D;23.02.2008;0;2.5425;;;18.02.2008
NYMEX.XRB;D;25.02.2008;0;2.5419;;;19.02.2008
NYMEX.XRB;D;26.02.2008;0;2.548;;;20.02.2008
NYMEX.XRB;D;27.02.2008;0;2.4769;;;21.02.2008
NYMEX.XRB;D;28.02.2008;0;2.4957;;;22.02.2008
NYMEX.XRB;D;29.02.2008;0;2.5123;;;23.02.2008
NYMEX.XRB;D;01.03.2008;0;2.667;;;24.02.2008
NYMEX.XRB;D;03.03.2008;0;2.6714;;;25.02.2008
NYMEX.XRB;D;04.03.2008;0;2.5463;;;26.02.2008
NYMEX.XRB;D;05.03.2008;0;2.63;;;27.02.2008
NYMEX.XRB;D;06.03.2008;0;2.6516;;;28.02.2008
NYMEX.XRB;D;07.03.2008;0;2.6974;;;29.02.2008
NYMEX.XRB;D;08.03.2008;0;2.693;;;01.03.2008
NYMEX.XRB;D;10.03.2008;0;2.7158;;;02.03.2008
NYMEX.XRB;D;11.03.2008;0;2.72;;;03.03.2008
NYMEX.XRB;D;12.03.2008;0;2.7295;;;04.03.2008
NYMEX.XRB;D;13.03.2008;0;2.6779;;;05.03.2008
NYMEX.XRB;D;14.03.2008;0;2.6891;;;06.03.2008
NYMEX.XRB;D;15.03.2008;0;2.688;;;07.03.2008
NYMEX.XRB;D;17.03.2008;0;2.5159;;;08.03.2008
NYMEX.XRB;D;18.03.2008;0;2.6315;;;09.03.2008
NYMEX.XRB;D;19.03.2008;0;2.5495;;;10.03.2008
NYMEX.XRB;D;20.03.2008;0;2.598;;;11.03.2008
NYMEX.XRB;D;21.03.2008;0;2.597;;;12.03.2008
NYMEX.XRB;D;24.03.2008;0;2.6333;;;13.03.2008
NYMEX.XRB;D;25.03.2008;0;2.6825;;;14.03.2008
NYMEX.XRB;D;26.03.2008;0;2.7379;;;15.03.2008
NYMEX.XRB;D;27.03.2008;0;2.7176;;;16.03.2008
NYMEX.XRB;D;28.03.2008;0;2.709;;;17.03.2008
NYMEX.XRB;D;30.03.2008;0;2.6271;;;18.03.2008
NYMEX.XRB;D;31.03.2008;0;2.6163;;;19.03.2008
NYMEX.XRB;D;01.04.2008;0;2.6445;;;20.03.2008
NYMEX.XRB;D;02.04.2008;0;2.7664;;;21.03.2008
NYMEX.XRB;D;03.04.2008;0;2.73;;;22.03.2008
NYMEX.XRB;D;04.04.2008;0;2.7547;;;23.03.2008
NYMEX.XRB;D;05.04.2008;0;2.7567;;;24.03.2008
NYMEX.XRB;D;06.04.2008;0;2.7835;;;25.03.2008
NYMEX.XRB;D;07.04.2008;0;2.7815;;;26.03.2008
NYMEX.XRB;D;08.04.2008;0;2.7599;;;27.03.2008
NYMEX.XRB;D;09.04.2008;0;2.775;;;28.03.2008
NYMEX.XRB;D;10.04.2008;0;2.789;;;29.03.2008
NYMEX.XRB;D;11.04.2008;0;2.806;;;30.03.2008
NYMEX.XRB;D;12.04.2008;0;2.8014;;;31.03.2008
NYMEX.XRB;D;13.04.2008;0;2.8218;;;01.04.2008
NYMEX.XRB;D;14.04.2008;0;2.822;;;02.04.2008
NYMEX.XRB;D;15.04.2008;0;2.8824;;;03.04.2008
NYMEX.XRB;D;16.04.2008;0;2.9317;;;04.04.2008
NYMEX.XRB;D;17.04.2008;0;2.951;;;05.04.2008
NYMEX.XRB;D;18.04.2008;0;2.986;;;06.04.2008
NYMEX.XRB;D;19.04.2008;0;2.99;;;07.04.2008
NYMEX.XRB;D;20.04.2008;0;2.9791;;;08.04.2008
NYMEX.XRB;D;21.04.2008;0;2.9805;;;09.04.2008
NYMEX.XRB;D;22.04.2008;0;3.0118;;;10.04.2008
NYMEX.XRB;D;23.04.2008;0;3.043;;;11.04.2008
NYMEX.XRB;D;24.04.2008;0;3.0155;;;12.04.2008
NYMEX.XRB;D;25.04.2008;0;3.0486;;;13.04.2008
NYMEX.XRB;D;26.04.2008;0;3.05;;;14.04.2008
NYMEX.XRB;D;27.04.2008;0;3.0307;;;15.04.2008
NYMEX.XRB;D;28.04.2008;0;3.041;;;16.04.2008
NYMEX.XRB;D;29.04.2008;0;2.9314;;;17.04.2008
NYMEX.XRB;D;30.04.2008;0;2.9312;;;18.04.2008
NYMEX.XRB;D;01.05.2008;0;2.87;;;19.04.2008
NYMEX.XRB;D;02.05.2008;0;2.9684;;;20.04.2008
NYMEX.XRB;D;03.05.2008;0;2.9669;;;21.04.2008
NYMEX.XRB;D;04.05.2008;0;3.0529;;;22.04.2008
NYMEX.XRB;D;05.05.2008;0;3.0518;;;23.04.2008
NYMEX.XRB;D;06.05.2008;0;3.1035;;;24.04.2008
NYMEX.XRB;D;07.05.2008;0;3.1265;;;25.04.2008
NYMEX.XRB;D;08.05.2008;0;3.1523;;;26.04.2008
NYMEX.XRB;D;09.05.2008;0;3.2014;;;27.04.2008
NYMEX.XRB;D;10.05.2008;0;3.199;;;28.04.2008
NYMEX.XRB;D;11.05.2008;0;3.1642;;;29.04.2008
NYMEX.XRB;D;12.05.2008;0;3.16;;;30.04.2008
NYMEX.XRB;D;13.05.2008;0;3.2035;;;01.05.2008
NYMEX.XRB;D;14.05.2008;0;3.1724;;;02.05.2008
NYMEX.XRB;D;15.05.2008;0;3.1621;;;03.05.2008
NYMEX.XRB;D;16.05.2008;0;3.23;;;04.05.2008
NYMEX.XRB;D;17.05.2008;0;3.2262;;;05.05.2008
NYMEX.XRB;D;18.05.2008;0;3.2402;;;06.05.2008
NYMEX.XRB;D;19.05.2008;0;3.239;;;07.05.2008
NYMEX.XRB;D;20.05.2008;0;3.3025;;;08.05.2008
NYMEX.XRB;D;21.05.2008;0;3.4061;;;09.05.2008
NYMEX.XRB;D;22.05.2008;0;3.3195;;;10.05.2008
NYMEX.XRB;D;23.05.2008;0;3.3951;;;11.05.2008
NYMEX.XRB;D;24.05.2008;0;3.393;;;12.05.2008
NYMEX.XRB;D;26.05.2008;0;3.416;;;13.05.2008
NYMEX.XRB;D;27.05.2008;0;3.385;;;14.05.2008
NYMEX.XRB;D;28.05.2008;0;3.442;;;15.05.2008
NYMEX.XRB;D;29.05.2008;0;3.4095;;;16.05.2008
NYMEX.XRB;D;30.05.2008;0;3.4089;;;17.05.2008
NYMEX.XRB;D;31.05.2008;0;3.355;;;18.05.2008
NYMEX.XRB;D;01.06.2008;0;3.3907;;;19.05.2008
NYMEX.XRB;D;02.06.2008;0;3.3867;;;20.05.2008
NYMEX.XRB;D;03.06.2008;0;3.35;;;21.05.2008
NYMEX.XRB;D;04.06.2008;0;3.1895;;;22.05.2008
NYMEX.XRB;D;05.06.2008;0;3.3345;;;23.05.2008
NYMEX.XRB;D;06.06.2008;0;3.5409;;;24.05.2008
NYMEX.XRB;D;07.06.2008;0;3.5285;;;25.05.2008
NYMEX.XRB;D;08.06.2008;0;3.394;;;26.05.2008
NYMEX.XRB;D;09.06.2008;0;3.4;;;27.05.2008
NYMEX.XRB;D;10.06.2008;0;3.3329;;;28.05.2008
NYMEX.XRB;D;11.06.2008;0;3.4733;;;29.05.2008
NYMEX.XRB;D;12.06.2008;0;3.522;;;30.05.2008
NYMEX.XRB;D;13.06.2008;0;3.4649;;;31.05.2008
NYMEX.XRB;D;14.06.2008;0;3.4623;;;01.06.2008
NYMEX.XRB;D;15.06.2008;0;3.4379;;;02.06.2008
NYMEX.XRB;D;16.06.2008;0;3.4327;;;03.06.2008
NYMEX.XRB;D;17.06.2008;0;3.41;;;04.06.2008
NYMEX.XRB;D;18.06.2008;0;3.463;;;05.06.2008
NYMEX.XRB;D;19.06.2008;0;3.34;;;06.06.2008
NYMEX.XRB;D;20.06.2008;0;3.43;;;07.06.2008
NYMEX.XRB;D;21.06.2008;0;3.4261;;;08.06.2008
NYMEX.XRB;D;22.06.2008;0;3.4551;;;09.06.2008
NYMEX.XRB;D;23.06.2008;0;3.4611;;;10.06.2008
NYMEX.XRB;D;24.06.2008;0;3.4644;;;11.06.2008
NYMEX.XRB;D;25.06.2008;0;3.4008;;;12.06.2008
NYMEX.XRB;D;26.06.2008;0;3.5136;;;13.06.2008
NYMEX.XRB;D;27.06.2008;0;3.5135;;;14.06.2008
NYMEX.XRB;D;28.06.2008;0;3.5185;;;15.06.2008
NYMEX.XRB;D;29.06.2008;0;3.505;;;16.06.2008
NYMEX.XRB;D;30.06.2008;0;3.5015;;;17.06.2008
NYMEX.XRB;D;01.07.2008;0;3.5195;;;18.06.2008
NYMEX.XRB;D;02.07.2008;0;3.551;;;19.06.2008
NYMEX.XRB;D;03.07.2008;0;3.5725;;;20.06.2008
