<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>
US3.ZW;D;16/01/08;000000;926.5000000
US3.ZW;D;17/01/08;000000;940.5000000
US3.ZW;D;18/01/08;000000;962.5000000
US3.ZW;D;22/01/08;000000;934.0000000
US3.ZW;D;23/01/08;000000;905.0000000
US3.ZW;D;24/01/08;000000;909.0000000
US3.ZW;D;25/01/08;000000;933.0000000
US3.ZW;D;28/01/08;000000;963.0000000
US3.ZW;D;29/01/08;000000;944.0000000
US3.ZW;D;30/01/08;000000;922.5000000
US3.ZW;D;31/01/08;000000;929.5000000
US3.ZW;D;01/02/08;000000;943.0000000
US3.ZW;D;04/02/08;000000;973.0000000
US3.ZW;D;05/02/08;000000;100.3000000
US3.ZW;D;06/02/08;000000;1033.0000000
US3.ZW;D;07/02/08;000000;1063.0000000
US3.ZW;D;08/02/08;000000;1093.0000000
US3.ZW;D;11/02/08;000000;1048.0000000
US3.ZW;D;12/02/08;000000;100.7000000
US3.ZW;D;13/02/08;000000;991.5000000
US3.ZW;D;14/02/08;000000;1032.0000000
US3.ZW;D;15/02/08;000000;1027.5000000
US3.ZW;D;19/02/08;000000;1036.0000000
US3.ZW;D;20/02/08;000000;1020.0000000
US3.ZW;D;21/02/08;000000;1029.5000000
US3.ZW;D;22/02/08;000000;1049.5000000
US3.ZW;D;25/02/08;000000;1109.5000000
US3.ZW;D;26/02/08;000000;1199.5000000
US3.ZW;D;27/02/08;000000;1280.0000000
US3.ZW;D;28/02/08;000000;1169.0000000
US3.ZW;D;29/02/08;000000;1073.0000000
US3.ZW;D;03/03/08;000000;1093.0000000
US3.ZW;D;04/03/08;000000;1077.5000000
US3.ZW;D;05/03/08;000000;1096.0000000
US3.ZW;D;06/03/08;000000;1114.0000000
US3.ZW;D;07/03/08;000000;1092.5000000
US3.ZW;D;10/03/08;000000;1140.0000000
US3.ZW;D;11/03/08;000000;1240.0000000
US3.ZW;D;12/03/08;000000;1270.0000000
US3.ZW;D;13/03/08;000000;1234.0000000
US3.ZW;D;14/03/08;000000;1160.0000000
US3.ZW;D;17/03/08;000000;1131.5000000
US3.ZW;D;18/03/08;000000;1164.0000000
US3.ZW;D;19/03/08;000000;1074.0000000
US3.ZW;D;20/03/08;000000;987.5000000
